,Location,Price,Number_of_bedrooms,Living_area,Furnished,Open_fireplace,Terrace,Garden,Surface_area_land,Pool,Condition,Price_per_sq
1287,Sint-Niklaas,429000.0,3.0,213.0,False,False,False,False,500.0,False,AS_NEW,2014.0845070422536
1289,Other,239000.0,3.0,266.0,False,False,False,False,470.0,False,GOOD,898.4962406015038
1291,Other,165000.0,3.0,102.0,False,False,True,True,78.0,False,JUST_RENOVATED,1617.6470588235295
1295,Other,449000.0,3.0,187.0,False,False,False,True,439.0,False,Unknown,2401.0695187165775
1296,Other,285000.0,2.0,126.0,False,False,False,True,324.0,False,AS_NEW,2261.904761904762
1297,Other,359000.0,4.0,165.0,False,True,True,True,298.0,False,AS_NEW,2175.757575757576
1303,Borgerhout,279000.0,4.0,162.0,False,False,False,False,79.0,False,GOOD,1722.2222222222222
1306,Other,267000.0,3.0,155.0,False,False,False,True,503.0,False,TO_RENOVATE,1722.5806451612902
1314,Other,170000.0,3.0,120.0,False,False,False,True,160.0,False,AS_NEW,1416.6666666666667
1315,Other,369000.0,3.0,140.0,False,False,False,True,745.0,False,TO_RENOVATE,2635.714285714286
1317,Other,485000.0,3.0,210.0,False,False,False,True,469.0,False,AS_NEW,2309.5238095238096
1318,Other,179000.0,2.0,140.0,False,False,False,False,0.0,False,Unknown,1278.5714285714287
1319,Zelzate,295000.0,3.0,101.0,False,False,True,True,206.0,False,GOOD,2920.792079207921
1322,Other,490000.0,4.0,187.0,True,False,True,True,369.0,False,AS_NEW,2620.3208556149734
1323,Oostende,265000.0,4.0,258.0,False,False,False,False,75.0,False,GOOD,1027.1317829457364
1324,Antwerpen,299000.0,3.0,164.0,False,False,False,False,48.0,False,JUST_RENOVATED,1823.1707317073171
1326,Hoboken,399500.0,3.0,169.0,False,False,False,True,141.0,False,GOOD,2363.905325443787
1327,Hoboken,395000.0,2.0,140.0,False,False,False,True,368.0,False,GOOD,2821.4285714285716
1330,Geraardsbergen,265000.0,2.0,150.0,False,False,False,False,591.0,False,AS_NEW,1766.6666666666667
